id,type,latitude_deg,longitude_deg,elevation_ft,municipality,gps_code,iata_code
324773,small_airport,42.3466117,-2.9109476,,Villarejo,,
321029,small_airport,37.8367253,-4.8964369,,Villarrubia,,
321380,small_airport,42.095282,-4.595404,2658,Villaumbrales,,
309918,small_airport,42.2655,-4.6479,2700,Villoldo,,
298473,small_airport,40.51972222,0.390277778,364,Vinaròs,,
43258,small_airport,38.50559998,-3.426150084,2672,Viso del Marqués,LEVI,
320444,small_airport,40.33185,-0.300633,2953,Vistabella del Maestrat,,
320272,small_airport,39.95398,-0.623243,,Viver,,
43250,heliport,43.67480087,-7.595230103,13,Vivero,LEPV,
321581,small_airport,39.025781,-0.2077532,23,Xeraco,,
309923,small_airport,42.1045,-7.7118,2024,Xinzo de Limia,,
321419,small_airport,38.58759,-1.105,,Yecla,,
321575,small_airport,38.42055556,-6.356944444,1837,Zafra,LEVE,
320136,small_airport,42.873599,-2.337437,1936,Zalduondo,,
321497,small_airport,43.186232,-3.1206308,1641,Zalla,,
321582,small_airport,41.691623,-0.85157,673,Zaragoza,,
